timestamp;actual_w;actual_calc_wh;actual_wh
2080;223;427.9305556;440
2100;227;429.1694444;445
2120;215;430.4305556;446
2140;230;431.625;447
2160;109;432.9027778;448
2180;170;433.5083333;449
2200;245;434.4527778;451
2220;237;435.8138889;452
2240;243;437.1305556;453
2260;238;438.4805556;454
2280;229;439.8027778;455
2300;170;441.075;457
2320;13;442.0194444;457
2340;148;442.0916667;458
2360;152;442.9138889;459
2380;154;443.7583333;460
2399;135;444.5711111;460
2419;146;445.3211111;461
2439;146;446.1322222;461
2459;178;446.9433333;462
2479;6;447.9322222;463
2499;152;447.9655556;464
2519;166;448.81;464
2539;147;449.7322222;465
2559;160;450.5488889;466
2579;148;451.4377778;467
2599;168;452.26;467
2619;25;453.1933333;468
2639;155;453.3322222;469
2659;177;454.1933333;470
2679;160;455.1766667;471
2699;172;456.0655556;471
2719;167;457.0211111;472
2739;177;457.9488889;473
2759;204;458.9322222;474
2779;34;460.0655556;475
2799;180;460.2544444;476
2819;166;461.2544444;477
2839;175;462.1766667;477
2859;175;463.1488889;478
2879;182;464.1211111;479
2899;172;465.1322222;480
2919;130;466.0877778;481
2939;70;466.81;482
2959;183;467.1988889;483
2979;192;468.2155556;484
2999;188;469.2822222;484
3019;179;470.3266667;485
3039;183;471.3211111;486
3059;192;472.3377778;487
3079;49;473.4044444;488
3099;177;473.6766667;489
3119;183;474.66;490
3139;256;475.6766667;491
3159;279;477.0988889;493
3179;266;478.6488889;494
3199;266;480.1266667;495
3219;338;481.6044444;497
3239;139;483.4822222;498
3259;285;484.2544444;500
3279;275;485.8377778;501
3299;283;487.3655556;503
3319;267;488.9377778;504
3339;270;490.4211111;505
3359;278;491.9211111;507
3379;54;493.4655556;508
3399;142;493.7655556;509
3419;196;494.5544444;510
3439;201;495.6433333;511
3459;186;496.76;512
3479;203;497.7933333;513
3499;199;498.9211111;514
3519;200;500.0266667;515
3539;55;501.1377778;516
3559;203;501.4433333;517
3579;207;502.5711111;518
3599;190;503.7211111;519
3619;203;504.7766667;520
3639;181;505.9044444;521
3659;187;506.91;521
3679;188;507.9488889;522
3699;51;508.9933333;523
3719;124.5;509.2766667;524
3739;198;509.9683333;529
3759;210;511.0683333;530
3779;203;512.235;531
3799;213;513.3627778;532
3819;212;514.5461111;533
3839;58;515.7238889;534
3859;225;516.0461111;535
3879;198;517.2961111;536
3899;197;518.3961111;537
3919;187;519.4905556;538
3939;198;520.5294444;539
3959;197;521.6294444;540
3979;247;522.7238889;541
3999;53;524.0961111;542
4019;187;524.3905556;543
4039;202;525.4294444;544
4059;200;526.5516667;545
4079;193;527.6627778;546
4099;185;528.735;547
4119;196;529.7627778;548
4139;91;530.8516667;549
4159;93;531.3572222;550
4179;195;531.8738889;551
4199;176;532.9572222;552
4219;262;533.935;553
4239;263;535.3905556;554
4259;269;536.8516667;556
4279;290;538.3461111;557
4299;135;539.9572222;559
4319;339;540.7072222;561
4339;344;542.5905556;562
4359;325;544.5016667;564
4379;338;546.3072222;566
4399;341;548.185;568
4419;338;550.0794444;569
4439;389;551.9572222;571
4459;107;554.1183333;573
4479;251;554.7127778;574
4499;239;556.1072222;575
4519;231;557.435;576
4539;236;558.7183333;577
4559;224;560.0294444;579
4579;238;561.2738889;580
4599;82;562.5961111;581
4619;179;563.0516667;582
4639;224;564.0461111;583
4659;219;565.2905556;584
4679;225;566.5072222;585
4699;211;567.7572222;586
4719;226;568.9294444;587
4739;253;570.185;589
4759;88;571.5905556;590
4779;248;572.0794444;591
4799;235;573.4572222;592
4819;241;574.7627778;593
4839;237;576.1016667;594
4859;227;577.4183333;596
4879;211;578.6794444;597
4899;289;579.8516667;598
4919;88;581.4572222;599
4939;229;581.9461111;600
4959;243;583.2183333;601
4979;225;584.5683333;603
4999;213;585.8183333;604
5019;212;587.0016667;605
5039;209;588.1794444;606
5059;99;589.3405556;607
5079;130;589.8905556;608
5099;98;590.6127778;609
5119;88;591.1572222;609
5139;211;591.6461111;610
5159;125;592.8183333;611
5179;92;593.5127778;611
5199;157;594.0238889;612
5219;83;594.8961111;613
5239;90;595.3572222;613
5259;195;595.8572222;614
5279;188;596.9405556;615
5299;243;597.985;617
5319;344;599.335;618
5339;173;601.2461111;620
5359;195;602.2072222;621
5379;213.5;603.2905556;625
5399;232;604.4766667;626
5419;243;605.7655556;628
5439;194;607.1155556;629
5459;192;608.1933333;630
5479;243;609.26;631
5499;210;610.61;632
5519;135;611.7766667;633
5539;210;612.5266667;634
5559;180;613.6933333;635
5579;67;614.6933333;637
5599;65;615.0655556;637
5619;88;615.4266667;638
5639;135;615.9155556;638
5659;138;616.6655556;639
5679;158;617.4322222;639
5699;196;618.31;640
5719;246;619.3988889;641
5739;85;620.7655556;642
5759;80;621.2377778;643
5779;316;621.6822222;644
5799;302;623.4377778;645
5819;80;625.1155556;646
5839;81;625.56;647
5859;311;626.01;649
5879;316;627.7377778;650
5899;80;629.4933333;651
5919;79;629.9377778;652
5939;100;630.3766667;653
5959;100;630.9322222;653
5979;99;631.4877778;654
5999;136;632.0377778;655
6019;90;632.7933333;655
6039;196;633.2933333;656
6059;113;634.3822222;657
6079;89;635.01;657
6099;185;635.5044444;658
6119;188;636.5322222;659
6139;103;637.5766667;659
6159;209;638.1488889;660
6179;174;639.31;661
6199;89;640.2766667;662
6219;108;640.7711111;663
6239;174;641.3711111;664
6259;199;642.3377778;665
6279;340;643.4433333;666
6299;91;645.3322222;668
6319;90;645.8377778;668
6339;80;646.3377778;669
6359;157;646.7822222;670
6379;163;647.6544444;671
6399;162;648.56;672
6419;167;649.46;672
6439;162;650.3877778;673
6459;166;651.2877778;674
6479;166;652.21;676
6499;171;653.1322222;677
6519;164;654.0822222;678
6539;163;654.9933333;679
6559;163;655.8988889;681
6579;180;656.8044444;682
6599;338;657.8044444;683
6619;79;659.6822222;684
6639;375;660.1211111;685
6659;326;662.2044444;687
6679;312;664.0155556;688
6699;79;665.7488889;689
6719;376;666.1877778;690
6739;336;668.2766667;692
6759;345;670.1433333;693
6779;99;672.06;694
6799;99;672.61;694
6819;97;673.16;695
6839;103;673.6988889;696
6859;117;674.2711111;697
6879;99;674.9211111;697
6899;79;675.4711111;698
6919;206;675.91;698
6939;103;677.0544444;699
6959;88;677.6266667;700
6979;79;678.1155556;700
6999;125;678.5544444;701
7019;106;679.2488889;705
7039;87;679.8377778;706
7059;187;680.3211111;706
7079;122;681.36;707
7099;166;682.0377778;708
7119;268;682.96;709
7139;89;684.4488889;710
7159;100;684.9433333;711
7179;141;685.4988889;711
7199;211;686.2822222;712
7219;175;687.4544444;713
7239;394;688.4266667;715
7259;294;690.6155556;717
7279;477;692.2488889;719
7299;346;694.8988889;721
7319;337;696.8211111;723
7339;338;698.6933333;724
7359;351;700.5711111;726
7379;84;702.5211111;728
7399;39;702.9877778;728
7419;119;703.2044444;729
7439;99;703.8655556;730
7459;88;704.4155556;730
7479;117;704.9044444;731
7499;58;705.5544444;731
7519;47;705.8766667;731
7539;33;706.1377778;732
7559;20;706.3211111;732
7579;10;706.4322222;732
7599;12;706.4877778;732
7619;0;706.5544444;732
